タイトル,bookliststory
麻雀無限会社ZANK,内定を取り消され、引越し当日に住処も失い、家財道具一式を持って苦し紛れにホテルの一室に転がり込んだ2人。若き麻雀打ち2人は食いつなぐため、麻雀を仕事にした会社を大真面目に設立！フリー雀荘で日々の部屋代及び生活費（＝…
ナルミ,「決め打ち」とは、配牌の時点で手役を決めて打つ麻雀の打ち方の事。田舎で地元ヤクザの代打ちとして粋がっていたナルミは、雀荘で格違いの決め打ちをする男に出会い、大敗を喫する。彼こそは代打ち界の頂点に君臨する男、菱田組直…
西校ジャンバカ列伝 かほりさん,練馬区西校在学、オカッパ菩薩顔のちんちくりん女子高生・小島かほりは、ヤクザも「さん」付けするほどの希代の雀士！ヒリヒリする緊張感を求めてマンションからマンションへ。刀を突きつけられても退かぬ媚びぬ省みぬ！この生き様…
雀鬼サマへの道 実践！雀鬼流手ほどきの書,雀鬼ファンの少女漫画家・谷口亜夢先生が、麻雀初心者の視点で描く、実録“雀鬼流麻雀”入門漫画。桜井“雀鬼”章一氏にお近づきになりたくて、雀鬼の麻雀道場「牌の音」にマジ入門しちゃいました！麻雀教本漫画は数あれど、雀鬼流…
トーキョーゲーム,お前はもう、トんでいる…！北斗の麻雀！199X年、東京は直下型大地震により廃墟と化した――！暴力が支配する無法地帯・東京で繰り広げられる、カオス＆バイオレンスなサイバーパンク麻雀活劇！屈強な無法者たちが互いの臓器を…
迷彩都市 カモフラージュ・シティ,右手の指をすべて切り落とすという猟奇連続殺人事件が発生した。死体の傍らには、決まって麻雀牌が置かれていた。北、西、南、東、九萬……置かれた順に牌を並べ、何らかのメッセージを読み取ろうとする捜査本部だが、謎は深まるば…
幻刻の門 新撰組70's,麻雀ブーム真っ只中の昭和43年にタイムスリップしてしまった津田ナオト。そこで彼が出会ったのは、若かりし日の“ミスター麻雀”小島武夫、そして在りし日の雀聖・阿佐田哲也だった。現代のスピード麻雀は当時に於いては異色で、…
イッパツの女,麻雀とエッチを強引に両立する女、登場！好きな麻雀を打ててHの相手も見つかる！まさに一石二鳥！これが麻雀で男を篭絡する究極の裏技…なのか！？「負け分は体で払う」なんていかにも自信あり気な台詞を吐きつつ、そもそも勝負す…
自撰劇画傑作集 北家の獅子,奴の名は獅子頭――通称、北家（きた）の獅子。奴はプロになって15年、未だかつて負けは知らねえ。奴の麻雀は運もカンも頼らねえ。ただ信じるのは己の頭。じっくり相手の打ち方を観察してナ。ラス親に勝負をかける。奴の頭の中は…
麻雀新世紀 赤の伝説,『フリー雀荘最強伝説萬ONE』に登場した人気キャラ、“赤い彗星の西”を主人公としたスピンオフ作品。本編『フリー雀荘最強伝説萬ONE』では、過去に敗北を喫した“ホクトのケン”にリベンジマッチを挑む形で登場する西。これ…
麻雀グラフィティ,剣名舞の原作付きで描く、福本伸行、幻の初期作品集!弱気が祟っていつも裏目を引いてしまう東公平、冴えない中年男性の契約愛人をしている南田蘭子、父の威光を借りずに生きたいともがく裕福な北条和彦、東京と地元のどちらで就職…
世紀末博狼伝 サガ,打てば極楽、打てば地獄、それがギャンブラーの宿命（サガ）！バカ勝ちとボロ負けを数日置きに繰り返し、高級ホテル暮らしとホームレス生活を行き来する男！伝説のギャンブラー、その名も“サガ”！！ギャンブルだけに生きると豪語…
雀キチADびんびん物語～ヤングTVマン奮戦日記～,俺、富ちゃんこと富田寿(とみたやす)は、好きで麻雀をやっているわけではない……ならば何故やっているかって？　それは俺がAD(アシスタント・ディレクター)だからだ！俺達下請け制作会社のADにとって麻雀は絶対必要条件な…
パチンカー血風録,主人公・銀崎竜次は凄腕の盤面師だ。盤面師とはパチプロにしてパチプロにあらず、釘師にして釘師にあらず、盤面を挟んで、裏と表、両面で生きる男のことである。銀崎は、亡き父の仇である日本屈指の総合遊戯産業会社「黒遊会」への…
牌龍　異能の闘牌,"牌龍（パイロン）＝麻雀超能力！麻雀においてのみ発揮される“異能の力”を駆使して命を賭けた“闘牌”に挑む者たちの壮絶なバトルをかつてないビジュアルで描く超能力（サイキック）麻雀アクション！卓上を龍が舞う…！
    …"
北の狼,札幌に旅行に来ていた雪子は婚約者の智に似た男、仁と出会う。右手に傷を持ち、北の狼と呼ばれて恐れられる仁に雪子は心を奪われる。
バード　最凶雀士VS天才魔術師,麻雀革命！　天才魔術師（マジシャン）の発想が麻雀の常識を変える！！　究極のトリック麻雀マンガ！　一撃必殺！　「全自動卓天和」炸裂ッ…！！　蛇vs鳥（バード）宿命の対決、開局ッ！！！　百戦錬磨の悪魔の指か！？　奇跡を…
殺気ゆえ,「海辺の殺人者」「この世に存在しない牌」の夢をみる男・深見は超高レート麻雀賭場で心理カウンセラー・沼辺と出会う。「自分が何者か」を知るために沼辺と関わる深見は…。
大・正・麻・雀・浪・漫　あさすずめ,"時は大正浪漫の頃、上海帰りの詩人、富村が持ち帰った小さな木箱…中に入っていたのはその後多くの人々を魅了する麻雀牌だった。麻雀を人があさすずめと呼んでしまう時代…大岡新作はその遊戯に全てをぶつけてゆく…
      …"
ダブルフェイス,「競技麻雀プロの第一人者」と「雀ゴロ」――１つの肉体に、まったく正反対と言える２つの人格が。１人の葛藤はやがて２人の闘いになっていた…
雀術師シルルと微差ゴースト,どんなにツカなくてもこの世界で僕は変わる。ずっと日に当たらず、燻っていた薄影幽の挑戦が始まる！すべての麻雀ファンに捧ぐ――！！
押忍!!麻雀部,偏差値70の名門校・大阪通天閣大学。その中でもひときわ異彩を放つ“麻雀部”をまとめる主将・高木義成が知力、体力、豪運、気合、根性…全知全能をかけて麻雀に挑む魂の闘牌劇！！
無双大戦,国士無双13面待ち…四方の打ち手が同じ手を持ち同じ牌を待つ。完全なる安定ともいえる状況――13大聖人にまつわる13の骨牌（カルタ）がひとつに集まるとき、完全なる安定・均衡した平和、国士無双13面待ちの世がもたらされ…
一畳間の純チャン,あるトラウマを持つ孤児だった少女と、イエスと呼ばれるホームレス、謎のマンガ家に家庭崩壊のサラリーマン…。とある雀荘にあつまるちょっぴり狂気（！？）でなんだか温かい、麻雀をこよなく愛する、迷える子羊たちの物語。「お布…
FLEHMEN,その男の笑みは全てを見通す！完全民営の巨大刑務所・天國山。「金がすべて」が唯一の法律であるそこでは巨万の富を持った犯罪者たちが好き勝手に暮らしていた。人の心を見通す謎の男・御船玲司が入所するまでは…。超高レート麻雀…
リペアマン　修繕屋,「哭きの竜」「月下の棋士」の能條純一渾身最新作！！＜全人類の未来を賭けた、一人の男の闘いが幕を明ける。＞廃墟と化す日本の未来――。その未来を変えるためリペアマンは現代へと舞い降りた。そして、各地で噂される都市伝説。…
脱衣転生,「マッドブル」「夜王」の著者・井上紀良が描く異色作！本作のテーマはずばり“脱衣麻雀”。とある謎の秘密団体が両国国技館で主催する“麻雀イベント”で繰り広げられる、闘牌＆エロス＆バイオレンス盛りだくさんの麻雀劇画。借金…
幻の麻雀牌譜　ザ・ライブ,「場は平たくしないとね」偶然見つけられた一枚の牌譜。それは超一流プロを掌で転がすようにあしらったひとりの男の記録だった。
ゴールドハイ,己の愚かさにより失墜した人生の脱落者に、最後のチャンスを与える金色の麻雀荘――人はそれを「金色荘」と呼ぶ。そこは世界中の大富豪が、死に物狂いで麻雀に挑戦する脱落者を嘲け笑い、絶望する様を楽しむ悪趣味過ぎる黄金ステー…
BW（ビューティフルワールド）　麻雀星取伝説,そこは麻雀至上主義の世界…！100個集めれば願い事がなんでも叶うという「星」を求めて麻雀初心者・新条匠は命を賭けた星取り戦に挑む――。
無法地帯の賭博師モリソン,近代麻雀で大人気連載中「無法地帯の賭博師モリソン」の待望の第１巻!!渋谷に突如現れた主人公の森村雄大（通称：モリソン）。高レートフリーで勝ちを積み重ねる彼にはとある壮大な計画があった…。人生を…世界を変えるために裏…
鉄牌のジャン！,シリーズ累計800万部『鉄鍋のジャン! 』西条真二が送る料理×麻雀アクション!!“天才悪童VS最狂タブー雀士、新たなる無敗伝説スタート!!”麻雀界に突如現れた伝説の雀豪のDNAを持つ男・黒鉄雀(クロガネジャン)。ど…
花鳥風月,貧困・虐待・奴隷人生を卒業せよ！仁義なきウラ女子高生麻雀サバイバル！！★単行本カバー下イラスト収録★
カナ 丹花の闘牌,シリーズ累計300万部突破『兎』スピンオフ最新作!!本作のヒロイン女子中学生・新庄香那が麻雀アイドルデビュー宣言!!父親譲りの雀力と底知れないカリスマ性を持つ彼女が巻き起こす緊張感120%学園闘牌劇!!!★単行本カ…
ナナヲチートイツ 紅龍,麻雀劇画史上、もっともバイオレンスでエロスな衝撃作「ナナヲチートイツ」の続編が登場! 互いに実親に裏切られ、奴隷となってしまった男女の高校生が、自由を掴むため麻雀の大勝負に挑む……続編では晴れて自由の身となった高校…
笑うあげは,“あげは”と呼ばれる謎の美女は盲目だった。にもかかわらず、そのしなやかな指先は自在に牌を操る。澱みなく…優雅に…華麗に…！！美しく宙を舞う蝶に引き寄せられるように、彼女に挑む男たちが目にするのは！？★単行本カバー下…
パチスロ貴族　銀,小説家志望のフリーライター音無銀也は行きつけの店のマスターから奇妙な誘いを受ける。日本一のスロッターが集うスロシアムで銀也は己の隠れていた才能を開花させる。選ばれし者パチスロ貴族とし銀也は、さらなる激しい戦いに巻き…
ロスト失踪者たち,"全てを失って逃げこんだ先は新宿の雑踏にある一軒のフリー雀荘。財布の中には小銭しかない。それでも俺は生きることを選択した。ここは戦場だ。戦場で戦わない者は殺されるしかない。★単行本カバー下イラスト収録★
      …"
聲鬼,声で人を殺す？　声優の卵　神田悠奈はある暗黒賭イベントに参加。勝利すれば望みの番組の声優に選ばれる。が、失敗すれば、すなわち死　との噂。対戦する売れない芸人とダウトで死闘をくりひろげる。崖っぷちに立つ悠奈がしぼりだ…
悪童-ワルガキ-,ひとつの身体に宿った二人の復讐劇――。冷たい海の底。最悪の日常に、新たなる明日がうまれる。★単行本カバー下イラスト収録★
ギャル雀ロ～ド,ギャル雀「おままごと」の店長・幸田俊夫、29歳。好きな麻雀で食っていこうと、脱サラしギャル雀を始めてウハウハな毎日を夢見てたものの、店内ではロシアのコギャル・ナスチャと、ホール最年長のカオリの血で血を洗う（？）抗争…
ムダヅモ無き改革　プリンセスオブジパング,シリーズ累計２５０万部！政治×麻雀×アクション漫画の金字塔待望の新章スタート！！！！！！今度の敵（!?）はアメリカの暴君・第４５代米国大統領D・トランプ。そして日本の危機を救うのはなんと…最強のDNAを持つ皇族系（…
悪童-ワルガキ-【分冊版】,ひとつの身体に宿った二人の復讐劇――。冷たい海の底。最悪の日常に、新たなる明日がうまれる。
連ちゃんパパ【合冊版】,【この作品は同タイトルの合冊版です】パチンコ狂いの妻が突然の家出!!残された息子と二人、妻を探して日本中を巡る放浪記。300万の借金に残高のない預金。強面の借金取りに追い立てられながら、わずかな手がかりを元に妻を探…
蓮次,麻雀で借金をつくらないこと。もし借りたらすぐ返しましょう。夢々、麻雀で取り返そうなどと思ってはいけません。ハードでお洒落な取立てやが控えている…。
ドラゴン先生,"レジェンド再降臨!!パチンコ・パチスロ界のカリスマとして名を馳せた「ドラゴン先生」が、実践を交えながら未経験者でも楽しく遊べるよう基本をレクチャー!!見極めや立ち回り術など、自身の持つ強さの秘密を伝授する――!!
…"
ドラゴン先生奮戦記,"パチンコ・スロットを愛し愛された男、ドラゴン先生が教えてくれるパチンコテクニック！彼が「神様」と呼ばれるまでの武勇伝が今ココに…！！パチンコ・スロットがお好きな方、これから始めようと思ってる方、必見の漫画です!
 …"
打天使,15年前の夫の死の謎を解き明かすため、一人の女代打ちが復活した――。すべてを射抜く氷のまなざしが、卓上に凍てつく吹雪をまきおこす――！！人呼んで氷の女、水無月冬子――！！
オーラ打ち言霊マンボ,5万人ぐらい来るんじゃない。俺様の対局ギャラリーに。片山まさゆきが描く麻雀プロの世界。限りなく事実に近いフィクション！！（関係者談）作品中の闘牌は全て実戦譜から！！
真剣,麻雀は最後に点棒を持ってる奴がトップで偉くて金が貰えるんだ。だから稼げる時に稼がなきゃダメなんだ。(ヒサトノートより)実録！フリーで1000万貯めた男！！
風の獅子,男が卓に座るとき、摩天楼に風が吹く。風を自在に操り、常に勝つ。勝って勝って勝ち続けることを背に負った勝負師。天は彼に負けることを許さなかった。敗れたその日より安息のときを得られ、彼を待つ女のもとに風が運んでくれるこ…
銀ヤンマ,やくざ相手の賭け麻雀を請け負い、不敗を誇る孤高の雀士・銀次。その表の顔はなんと刑事だった！秋空を高く舞う「銀ヤンマ」の異名を持つ銀次と組織の代打ち・志村との勝負の行方は…。鬼才・福本伸行が描く、闇の世界をうごめく雀…
TATTOO-魔性の闘牌-,顔半分に彫られたTATTOOで人間的感情を塗りつぶし、四暗刻ですら惜しげもなく切り崩す強引な闘牌で清一色を呼び込む悪魔的雀士・亮。対面するもの全てを飲み込むその黒い殺気に、ある者は魅せられ、またある者は畏怖する。　…
風の三日月,「”三日月”って男に会ったことあるかい？利き腕を潰されたうえに深海魚の餌にされちまったって話だが――。」　風牌を自在に操り卓を支配する、復讐専門の代打ち屋、通称”三日月”…。かつて漆黒の闇に沈んだはずの三日月が再び…
トリぷるHONEY,西新宿学園で話題の美人三姉妹。勝てば脱いでくれると言う最強麻雀の桂谷三姉妹、桜、紅葉、桐！プロ雀士を目指す高校一年生・諸星健太郎は転入早々三姉妹に勝負を挑むがあっけなく敗退。10万円を巻き上げられてしまう。学校内外…
勝負師の条件,渋い！激渋い！ヤクザの代打ちとして無敗の強さを誇る男の麻雀漫画と言ってしまえばありがちな内容。しかし！この作品の醸し出す渋カッコいい空気は半端ないッス！勝負師達の生き様にクラクラ来てしまいます。無敗の雀士・桂木。数…
脱衣雀荘すーあんこ～美人四姉妹がお出迎え～ 【合冊版】,【この作品は同タイトルの合冊版です】見た目は普通のフリー雀荘。美人四姉妹が働くそこはリアル脱衣麻雀!?勝てば脱がせる特別サービスに数々の挑戦者たちが勝負を挑む！長女の喜多恵は幼い見た目ながらの豊満ボディ！次女の透花…
ナルミ麻雀DNA　風の遊戯,かつて不敗を目指した麻雀打ちがいた。己を焼き尽くすほど勝負に命をかけたその男は伝説となった。そして時は流れ、今…その血を受け継いだ少女が覚醒する！！★単行本カバー下画像収録★
鉄牌のジャン！VR,シリーズ累計800万部「鉄鍋のジャン！」スピンオフ最新作！！“天才料理人×鬼才雀士”――この男、最狂の二刀流！！突如、麻雀界に現れた伝説の雀豪のDNAを持つ男・黒鉄雀(クロガネジャン)。“無敗”を公言する彼には敵対…
じゅうしまつ,"“優愛法”――。それは昭和71年に制定された死刑制度に対する最後の防波堤。死刑確定囚に麻雀を打たせ、己の器量と天運を証明した者には無罪放免の恩赦が与えられる。通称“14階段”――。★単行本カバー下画像収録★
   …"
狐火,魑魅魍魎の蠢く卓上に魔性の女が舞い降りる!?彼女の名は沙耶!!対立する暴力団をバックにつけた大手開発事業団の間で行われる麻雀勝負、掛け金は開発予定地となった工場跡地。何百億という金が動き莫大な利益を生む土地を賭けた…
ミスターブラフマン,少女マンガ家を生業とする漫画家・氷室晶。彼はシャイで小心者で礼儀正しい好青年。だか、その正体は泣く子も漏らす超強面、ミスターブラフマンなのであった（本人は無自覚）。その氷室が、原稿を描きあげた自分へのご褒美に、大好…
牌人ゲーム,生き残りを賭けた極限の駆け引き！！たった2局ですでに64人惨殺！！ようこそ狂気が紡ぐ最悪のデスゲームへ！！★単行本カバー下画像収録★
MJM,束(ずく)…高レート麻雀の際、支払い時にかさばらないように、ゴムやホッチキスでまとめた一万円札の束のこと。戦後、バブル期を超え生き続ける賭けマージャン界。そんな現代に己が腕一つで賭場を渡り歩く男、尾神。フリー雀荘で…
海蔵,警察も、極道も、法すらもさばけない……それを裁く仕置人『海蔵』！火災現場で人を救うはずの消防士……そのはずだったのだが、過去の火災現場で救助対象であった母親から発せされる断末魔の歌声に魅了され、以来その消防士には炎…
惚れてツヨシ,オーナー甚八19歳（には見えない）宅に住み込みで、雀荘「万子」（出オチかよ）でバイトを始めた家出娘・松下あかね17歳。麻雀は強いがスケベな性格の甚八に尻を触られたり胸をもまれたりしながら（非常に素晴らしい職場環境で…
麻雀 下駄を履くまで,昭和37年、新宿。C大を卒業したのにもかかわらずまともに就職もせず、フリーの賭博師としてイカサマ麻雀や壷振りなどでダラダラと生計を立てる池谷が麻雀を通して邂逅する、薬漬けの女子高生や麻雀狂いの若社長などなど道外れた…
麻雀馬鹿物語,雀ゴロサラリーマン武上が、麻雀を通して覗き見る人間模様。麻雀のカモを探しに三流飲み屋「呑」にやって来た武上。ここには麻雀狂いの一流クラブ「友加」の友加ママが、麻雀の面子を求めてやって来る。「呑」のマスター・シゲは友…
RUDE 39,パチンコで日銭を稼ぎながら何者にも縛られず自由気ままに過ごす39歳、片桐有二のRUDE（悪ガキ）のような生き方を描いた作品。その自由な生き様には、あの赤木しげるにも通じるモノを感じます（16歳の女子高生をパチンコ屋…
春風にようこそ,まだ、ざわざわ・・してなかった頃の初期の福本信行作品。現在のヒリつくような作風とは相反して、当時の作風は非常に爽やかです。民宿の人々とのふれあいを描いた人情民宿麻雀ドラマ。「春風」――そこは、伊豆で一番客が少なくて…
熱いぜ天馬！,これはスゴイ。福本信行が描く、少年漫画的ノリの麻雀漫画。中学生の天馬が、中学生離れしたクソ度胸と勝負勘、ここぞと言う時の鬼ヅモや、最後まで勝負を諦めない不屈の精神で強敵達を打ち破る麻雀漫画なのですが、その強敵たちが…
熱いぜ辺ちゃん,ペンチャン待ちを一発でツモる事もある。ペンチャン勝ちが三面待ちに勝つ事もある。目先の理よりも夢を追い、笑いながら役満振り込み。そんな生き方。誰よりも麻雀が好きで、誰よりも麻雀を楽しく打ち、明るく陽気で、周囲の人間を…
ラスベガスキング,大金を賭け、世界中を回遊するハイローラー達をホエールと呼ぶ。あいつはその鯨達を追うように、世界中のカジノを渡り歩く。はっきりしているのはただ一つ――“今まで誰にも負けたことがない”という奇跡・・・・！！★単行本カバ…
リーチメン！,ハッタリと麻雀勘の杉太、家賃滞納パソコンオタクの桐人、絶対冷温色男つかヒモの仁春。どうしようもない俺達三人だが、金はなくとも野望（ゆめ）はある！だませ！むしれ！成りあがれ！目指すは勝ち組！一攫千金！一番星！地雷原だ…
麻雀放浪記2020,不朽の名作、阿佐田哲也の『麻雀放浪記』を原案に、2020年オリンピックが中止されてしまった東京を舞台に、1945年の“戦後”からやってきた若き天才ギャンブラー・坊や哲が、麻雀で死闘を繰り広げる。★単行本カバー下画像…
リペアマン　修繕屋【分冊版】,バス停に突然、現れる郵便箱に“願い事”を書いた紙を投函するとその願いは叶うという。サングラスの謎の男が現れる時、運命の歯車が廻りだす!!
麻雀人口増加計画☆,内容紹介：「麻雀人口増加計画」とは、麻雀ファンを増やすために女流雀王・大崎初音プロが発案・推進する麻雀普及活動のことである。大崎プロは、麻雀の楽しさ・素晴らしさを伝えるために、同志「紅孔雀」のメンバーとともに、日々…
JKオブ・ザ・デッド,シリーズ累計800万部「鉄鍋のジャン!」の西条真二、最新作!ある日突然、街はゾンビが徘徊する世界へと変貌した。そんな中――廃墟と化した高校の片隅で生き残った女子高生たちは残されたわずかな食料と「麻雀牌」で飢えと退屈…
美少女雀士！スパローガール！,変化のない世界に息苦しさを感じていたお嬢様学校の優等生・音羽は夜の街で同じクラスの美少女・小鳥子と出会い後をつける。その先で音羽が見たものは―――仮面と可憐なコスチュームを身に着け高額な麻雀対決に身を投じる小鳥子の…
ゴールデン桜,麻雀プロって稼げるの……!?モデル兼プロ雀士の岡田紗佳、漫画原作デビュー作品?実力はあるがまったく無名・低収入のプロ雀士・早乙女卓也は同棲していた彼女にダマされ借金500万円を背負うことに。勘当された両親をはじめ、…
ザ・トラックマン,競馬専門紙「競馬ゴラク」の驫木一番（とどろきいちばん）は、大胆な穴予想で高配当の３連単をズバズバ的中させる競馬記者（トラックマン）だ。女性関係もかなりのイケイケで爆乳タレントから行きずりの女性まで食いまくり!!　だ…
アプサラス,それを持つ者に好運をもたらすと言う伝説の六つの賽（さい）…アプサラスシックス！遥かインドより伝わりし六つの賽は、数奇な運命に翻弄されて、世界各地にバラバラになってしまったと言う。時は流れ、日本。とある小さな商店街に…
朱雀・歌舞伎町雀姫伝,歌舞伎町にある雀荘「海底撈月」。ここに１人の女子高生がいた…。彼女の名は、南条朱雀。牌に恋し、牌に愛される少女――！朱雀はお世話になっている「海底撈月」のオーナーの娘であり、同級生でもある竹林千鳥のために、あまたの…
天牌列伝,天牌ワールドをキラ星のごとく鮮やかに彩り、壮烈な打ち筋を魅せるプロフェッショナル雀士たち…入星祥吾、北岡静一、三國健次郎、菊多賢治…彼らの凄絶なまでの生き様にスポットを当て、その核心へと肉迫する！　天牌ファンなら見…
麻雀白虎隊 東,衝撃死闘！麻雀バカ漫画！麻雀に負けてショック死！麻雀に負けて自殺！麻雀に負けて手首を切り落とされて機械化！ヤク漬け監禁！毒殺！ボウガンで射殺！そして、理屈ナシに炸裂する不可避の必殺技の数々！「麻雀白虎隊”秘技”――…
極道一直線,丸坊主にマユゲなし、なのに何故だかとってもキュート…!?　極道の世界に舞い降りた芸人（？）鬼島組長が、今日も勝手に嵐を巻き起こす！　ザ・実録“関東鬼島会”!!
外人パチンカー,ある日、駅前のパチンコ屋に一人の白人女性が入って来て、たまたま座ったのが自称パチプロの山本岩五郎の隣のスロット台ってわけ。岩五郎に「7」を揃えてもらった彼女は岩五郎に感謝して、岩五郎に「弟子にしてくれ」と部屋まで付…
伝説の雀鬼　ショーイチ【完全版】,麻雀界のレジェンド・桜井章一の、無敗という伝説の足跡を、圧倒的な筆致で描き上げた大人気劇画シリーズの完全版が登場！　戦争の傷跡がまだ癒えきらぬ少年時代から高度経済成長時代を、その神業とも言える裏ワザを駆使して戦い抜…
走れイダテンキング【分冊版】,“競馬は命”　という父の生きざまを胸に騎手となった馬庭英騎は、まだ見習いの身ながら、先輩騎手の田所に真剣勝負を挑み、勝利をあげるほど修羅の魂を持つ男だ。しかし、レース中の落馬によって重傷を負い、また愛馬ライジンエコ…
空の鉄砲,芹沢裕二（通称セリ）が、大和組に近付き、その不思議な雀力で卓上を支配し、圧倒的な存在感を見せつけて代打ちとなったその日、対抗組織の寛己組との抗争が勃発した。そんな中、組長の娘であり、誰にも心を開かなったユミが何者か…
BLOOD ～真剣師 将人～,“獅子”と呼ばれた闇の賭け棋士を父を持つ将人。その父が10億の借金を作って失踪。将人は肩代わりで賭け将棋を指すことに！負ければ即死の“真剣”将棋バトル！
兎～野性の闘牌～,初めは点だった。いじめられっ子の高校生、武田俊（たけだ　しゅん）は強引にやらされたイカサマ麻雀で危険牌を見抜き、不良達の思惑から逃れることに成功する。そんな俊の能力に気付いた同級生の山口愛は、代打ち集団ZOOに俊を…
ジャンケット,パチンコメーカー社長、出会い系サイト管理者、不動産ブローカー、過払い請求弁護士etc. 日本裏社会の超成金たちを相手に、テキサスホールデムポーカー、ブラックジャック、麻雀…あらゆるギャンブルで金を吐き出させ…時には…
牌王伝説 ライオン,「どうせ命を張るならでかい相手のほうがいい」全財産を賭けた7億勝負…!!超絶クライマックス！卓上の猛獣・堂嶋の激闘を描くバイオレンス麻雀伝!!
ナナヲチートイツ,麻雀の代打ちを生業とする父とのコンビ打ちで連勝を重ねてきた桐島中也。しかし、その父の裏切りによってヤクザへと売り飛ばされてしまう。自由なき絶対服従の生活から果たして中也は脱出できるのか！？親に捨てられ…ヤクザに売ら…
aki,家出、中卒、親の離婚、倒産、一家離散…！麻雀女流プロ・二階堂亜樹の知られざる過去…！彼女はただ、生き抜くためにこの道を選んだ――！
ひるドラ,巨乳の人妻たちがだんなのいない昼間におりなすパイとパイの語り合い。あ、パイ＝麻雀パイです！巨乳、人妻、ときどき麻雀。
GAMBLER !,「軽すぎるんだよ……お前らの牌に命は乗ってない」ギャンブルは技術じゃない。天才ギャンブラー「勝」の魔性の闘牌伝説！今宵も京都で、最も危険な勝負の場が立つ……!!戦慄の指狩り麻雀編＆百鬼夜行の群がる賭場「楽園」編収録…
麻雀群狼記 ゴロ,はたして俺の麻雀漬けの人生は是だったのか非だったのか……。定職につかず賭け麻雀で生計を立てる人――雀ゴロ。死ぬ気で麻雀を打つ彼らの生き様をリアルに描く、超絶!!!　麻雀大河ドラマ！
シャモア,滝沢さんがこんなに変態なワケがない！（俊）「兎－野性の闘牌－」初のスピンオフ漫画!!“ZOO”の過去が明らかに…!!!!
鉄火場のシン,「その一打、震えるヨ！！」狂った高レート（裏）麻雀！！札束飛び交い、血迸る熱き高レートの闘いを見よ！！
EZAKI むこうぶち外伝,超絶スピンオフ登場!!　むこうぶち外伝 牌に命を捧げた男・江崎の生き様。「横浜赤麻雀」で“上野（ノガミ）の秀”と激突…!!
チェン爺,電話の老人・黒紋金蔵と出会い、彼とのギャンブルに負けた万吉は、約束どおり代償として「体」を差し出す。万吉は金蔵の“奴隷”として働くことを覚悟したが、その意味は全く違うものだった……!!　万吉は外科手術によって金蔵と…
極道×騎手,背負った借金は6000万円。弱小ヤクザ組長と現役スランプ騎手が、借金返済を賭けて一世一代の大バクチに挑む!!元JRAトップジョッキー田原成貴が放つ一発逆転競馬ロマン!!
ミリオンシャンテンさだめだ!!,主人公は配牌もツモも最悪！粘って粘って…やっぱり負ける。大学の超弱小麻雀サークルの面々による、麻雀青春ギャグ群像劇！地味な主人公の「宿命田」と、常に好配牌だが初心者なので全く活かせないナイスバディな「めろん畑」を中…
雀賢者ポッチカリロ,負けたのを人のせいにしたり相手を不愉快にさせて勝ったり…。ふと見回すと、麻雀界は自分勝手で利己的な「麻雀愚人」でいっぱい！そんな麻雀界に突如として現れた雀賢者！？その名も“ポッチカリロ”（ソウルネーム）！！何やらフ…
スーパーヅガンアダルト,つかん！づがん！づぎゃん！麻雀漫画界の第一人者・片山まさゆきの代表作の一つ、「スーパーヅガン」の豊臣君が帰ってきた！かつてスーパーヅガンが好きだった人には懐かしのキャラたちとの同窓会気分で、読んだ事がない人にはダメ…
牌賊！オカルティ,対決、「デジタル麻雀」対「オカルト麻雀」！突き詰めれば本当に強いのはどっちなのか！？麻雀界の究極の命題に、片山まさゆきが挑む！ 完全無欠のデジタル概念で最も合理的な牌選びをし、デジタル麻雀で麻雀界を席巻する男・梨積…
ランブルアイズ,七瀬瞬の左目は視力11.0というアフリカ人にも勝る｢闘眼(ランブルアイ)｣。七瀬はスロットに対しその力を使うのだが…
石山東吉のガチンコ！裏テク13時間,バトラーと対戦しその風景を紹介そして結果と機種攻略をするパチスロガチンコバトル！
トキちゃん海ちゃんのパチスロ攻略隊,パチスロのサラリーマン金太郎を中心に攻略していく
トキちゃんのスロット実戦速報！,いろんなパチスロ機種を実戦し攻略していく漫画
実戦攻略！ガチンコ裏テク13時間,様々なパチスロ機を実戦攻略していく。向かうところ敵なし！
実戦パチスロバトル ガチスロ!!,実戦攻略は俺たちに任せろ!!
九蓮宝燈殺人事件,運命の南３局。「和了った者は死ぬ」と言われている九蓮宝燈の手が入った彼女は、それになぞらえるかのように命を落とした…果たして事件の真相は!?
ノーマーク爆牌党,「爆守備」鉄壁、「爆役満」大介、「爆テンパネ」宝燈美、そして「爆牌」爆岡！！　彼らがであったのは雀荘「ドラ道楽」。物語はここから始まる！！
風牌にふかれて,麻雀誌の編集者溝口賢は仕事もそっちのけで、いつものように雀荘にいた。近い将来、麻雀界に踊り出る運命などまるで知らずに。
東風のカバ,最強の麻雀打ちとして恐れられた男、河馬山吾郎（55）。彼は、引退して恋人ルミちゃんとの平穏な余生を過ごすはずだった…。ところが、インターネット麻雀に接続してしまったことから歯車は狂い始め、河馬山に艱難辛苦が訪れる……
ユキヒョウ 白銀の闘牌,「なんだこいつの目は…まるで獲物を狙う野獣の目!!」戦意・野性が最高潮に達した時、山口愛がユキヒョウへと覚醒する!!　山口愛、小学６年生。代打ちになりました。伊藤誠原作のスピンオフ第２弾!!
