タイトル,画像URL,icontext,icontext1,著者,数量,bookliststory
姫乃ちゃんに恋はまだ早い,https://cf.image-cdn.k-manga.jp/cover_200/11/118755/b118755_1_200.jpg,青年漫画,ギャグ・コメディ,ゆずチリ,"巻完530pt
              
              お気に入り：41人",この恋心、全然伝わらない!?　おマセな女子小学生とマセ度０％な男子小学生の、すれ違い初恋ラブコメディ♪
有閑みわさん,https://cf.image-cdn.k-manga.jp/cover_200/2/25258/b25258_1_200.jpg,青年漫画,ギャグ・コメディ,たかの宗美,"巻590pt
              
              お気に入り：62人",愛されるのには、ちゃ～んと理由がある！ヒマつぶし…で家事完璧！！夫のため、そして自分のために毎日大ハッスル！！平成のカリスマ奥さん物語。
ふくよかさん,https://cf.image-cdn.k-manga.jp/cover_200/4/40372/b40372_1_200.jpg,青年漫画,ギャグ・コメディ,井村瑛,"巻完750pt
              
              お気に入り：22人",今日も食べながら悩むぽっちゃりライフ♪身長174ｃｍ・体重84ｋｇ・体脂肪率35％ちょっぴり大きめなＯＬ 福岡羽菜子（25）は同じ職場の大河内全に片想い中♪“重い女”を卒業して、振り向いてもらうためダイエットを決意…
ヘンコイ！,https://cf.image-cdn.k-manga.jp/cover_200/11/112718/b112718_1_200.jpg,青年漫画,ギャグ・コメディ,東鉄神,"巻524pt
              
              お気に入り：33人",高校生の渡瀬君と青木さんは、人もうらやむ超ピュアな恋人同士。しかし、純粋ゆえに2人は徐ーに「変態」に目覚めてゆき……。巨乳JKヒロインの純愛学園ラブコメ!!
敏感・彼女,https://cf.image-cdn.k-manga.jp/cover_200/11/113395/b113395_1_200.jpg,青年漫画,ギャグ・コメディ,片桐兼春,"巻524pt
              
              お気に入り：185人",敏感過ぎる女の子達の恥じらい顔がいっぱい　業界注目の新鋭が描く、ちょっと特殊なカワイイ娘満載の読み切り初作品集!!
けもっ娘どーぶつえん！,https://cf.image-cdn.k-manga.jp/cover_200/11/114143/b114143_1_200.jpg,青年漫画,ギャグ・コメディ,めぷちん☆,"巻完524pt
              
              お気に入り：111人",斜陽の極楽島動物園。不幸が続いて動物はメスばかりに。その上、園長の怪しい研究で動物は夜になると女の子の姿に!　飼育員の種田くんは夜な夜なけもっ娘たちと…!?
ばくおん!! ～天野恩紗のニコイチ繁盛記～,https://cf.image-cdn.k-manga.jp/cover_200/11/114678/b114678_1_200.jpg,青年漫画,ギャグ・コメディ,蒔野靖弘,"巻524pt
              
              お気に入り：4人",「バイクはバカにしか乗れん」の台詞でおなじみのメインヒロインにして、悪評高きバイク屋“ニコイチモータース”の看板娘・天野恩紗が主役♪　実家のお店にやってくる初心者からリターンライダーまでクセ者ぞろいのお客さんを相手…
ほっぷすてっぷじゃんぷッ！,https://cf.image-cdn.k-manga.jp/cover_200/12/123656/b123656_1_200.jpg,青年漫画,ギャグ・コメディ,岡田和人,"巻完524pt
              
              お気に入り：16人",32歳、女子高用務員の鶴岡一途の野望は現役女子高生との結婚!! あの「教科書にないッ！」の岡田和人が贈る、究極ラブコメディー♪
神のごときミケランジェロさん,https://cf.image-cdn.k-manga.jp/cover_200/11/113607/b113607_1_200.jpg,少年漫画,ギャグ・コメディ,みのる,"巻524pt
              
              お気に入り：1人",“神のごとき”と称されるほどの天才芸術家、ミケランジェロ。だがその正体は、引きこもり、フケツ、女嫌い……自信家なのにコミュ障な、超変人だった!! そんな天才だけどめんどくさいオッサン、ミケランジェロの生涯を描いた、…
死亡フラグに気をつけろ！,https://cf.image-cdn.k-manga.jp/cover_200/15/153621/b153621_1_200.jpg,少年漫画,ギャグ・コメディ,茶んた,巻524pt,「カップルがイチャイチャしだすと死ぬ」「マシンガンを乱射する奴は死ぬ」「戦場で家族の話をする奴は死ぬ」古今東西のあらゆる映画に存在する“それをしてしまったら死んでしまう”行為、いわゆる『死亡フラグ』を、映画オタクの…
ウルフ物語,https://cf.image-cdn.k-manga.jp/cover_200/11/111673/b111673_1_200.jpg,,ギャグ・コメディ,岩田江利子,"巻371pt
              
              お気に入り：15人",ウルフこと佐伯鞠生（さえきまりお）は現代社会の常識に単独で挑戦を挑んだ噂の一匹狼！　学校のルールなど通用しない万能女子高生の猪突猛進コメディ！　【同時収録】ひなぎく学園SOS1・2／ミルキーのアンラッキー／ハートの…
悪魔のメムメムちゃん,https://cf.image-cdn.k-manga.jp/cover_200/10/105904/b105904_1_200.jpg,少年漫画,ギャグ・コメディ,四谷啓太郎,"巻完380pt
              
              お気に入り：70人",ある日高校生・ひょう太のもとに現れた悪魔・メムメム。男を誘惑して魂を奪うためにやってきたが、幼児体型や押しの弱さから、全然上手くいかなくって…!?　この悪魔、ポンコツすぎてほっとけない!!　話題沸騰中のダメっ娘コメ…
お仕事中のアイ・ラブ・ユー,https://cf.image-cdn.k-manga.jp/cover_200/13/131521/b131521_1_200.jpg,青年漫画,ギャグ・コメディ,さくらい,"巻640pt
              
              お気に入り：5人",Twitterでバズり気味な作者による初の単行本。部下に恋した主任が繰り広げる大暴走社内恋愛ショートギャグ!出社途中、事故に巻き込まれ身動きがとれなくなった主任。すると1人の女性が驚くべき腕力で主任を救出してくれる…
廃バスに住む,https://cf.image-cdn.k-manga.jp/cover_200/15/150561/b150561_1_200.jpg,青年漫画,ギャグ・コメディ,イチヒ,"巻640pt
              
              お気に入り：6人",美人教師の雨森先生は、なぜか空き地に捨てられた廃バスに住んでいる――。『おとなのほうかご』のイチヒがお送りする、SNSで話題沸騰のマイペースでお茶目なおひとりさま車中泊コメディ！
親バカ日誌,https://cf.image-cdn.k-manga.jp/cover_200/2/28655/b28655_1_200.jpg,,ギャグ・コメディ,魔夜峰央,"巻完501pt
              
              お気に入り：14人",「パタリロ！」の作者・魔夜峰央・通称ミーちゃんが、子煩悩全開で描く家族エッセイコミックが文庫になります。まだ幼いマリエちゃん＆マオくん姉弟のボケキャラぶりも楽しい子育て日誌です。
定年男子はめんどくさい ～夫ストレスの妻たち～,https://cf.image-cdn.k-manga.jp/cover_200/11/116920/b116920_1_200.jpg,,ギャグ・コメディ,三谷美佐子,"巻完500pt
              
                  
                
                4.5（2件）
              
              お気に入り：41人",嫁姑は昔の話。今一番やっかいなのは「定年男子」!! 口うるさい夫、うざい夫、動かない夫、３U定年男子と妻たちの笑える戦い!!　「ずっと君の家事が嫌だった」…定年を控えた夫からのそんな告白から始まる定年男子VS妻たち…
まねきねこ不動産,https://cf.image-cdn.k-manga.jp/cover_200/8/80592/b80592_1_200.jpg,,ギャグ・コメディ,空乃さかな,"巻完500ptコマ50pt
              
              お気に入り：61人",地方都市の中心部に店を構える亜徳不動産。強面の社長にクセの強い社員達のもとにひょんなことからやってきた捨て猫・クリ太。彼に招かれるようにペット可物件を探す客がどんどん増えて…!?
続ダンナのウツは私のせい？,https://cf.image-cdn.k-manga.jp/cover_200/9/95518/b95518_1_200.jpg,,ギャグ・コメディ,カフェ,"巻完500pt
              
              お気に入り：29人",大人気４コマブログの書籍版『ダンナのウツは私のせい？』の続編が、デジタル版のみでリリース。第２子は無事誕生したものの、ダンナの病状は一向に改善されないまま。そんな夫に振り回されるよりも、自分、そしてわが子のために「…
師匠と僕と,https://cf.image-cdn.k-manga.jp/cover_200/1/18217/b18217_1_200.jpg,青年漫画,ギャグ・コメディ,高内優向,"巻完500pt
              
                  
                
                2.0（1件）
              
              お気に入り：29人",師匠シリーズのスピンオフギャグマンガ。師匠とウニのドタバタ裏話を愉快にご紹介!本編の恐さからはゆるっと緩んだ癒しの笑いをどうぞ!本編と同日発売!
桃色サバス,https://cf.image-cdn.k-manga.jp/cover_200/7/77265/b77265_1_200.jpg,青年漫画,ギャグ・コメディ,中津賢也,"巻完500ptコマ完50pt
              
              お気に入り：9人",悪魔･ベルゼビュートの魂を宿して生まれた高校生･魔道玉吉。そこへ魔界からベルゼビュートの命を受け玉吉を殺す為に低級魔女･カゴメが現れる。カゴメはひょんなことから玉吉に惚れてしまい、玉吉のボディーガードをすることにな…
マンガで分かる肉体改造　糖質制限編,https://cf.image-cdn.k-manga.jp/cover_200/8/81427/b81427_1_200.jpg,青年漫画,ギャグ・コメディ,ゆうきゆう,"巻完500ptコマ完50pt
              
                  
                
                4.0（1件）
              
              お気に入り：145人",身体のゆるみがとっても気になるアナタ!いますぐメタボ対策ですよ!大人気シリーズ「マンガで分かる心療内科」シリーズのゆうきゆう・ソウコンビが、糖質制限について分かりやすく説明してくれます!ダイエットしたことがない人も…
ひろみくす,https://cf.image-cdn.k-manga.jp/cover_200/14/149298/b149298_1_200.jpg,少年漫画,ギャグ・コメディ,森下真央,巻完500pt,女っぽい名前がちょっとコンプレックスな少年、ヒロミ。幼なじみの舞に「少しは女らしくしろよ」とうかつに言った彼は謎の悪魔に目をつけられ、女の子の姿にされてしまった!元に戻してもらう条件は、悪魔との「ゲーム」に勝つこと…
悪魔は胸に眠る,https://cf.image-cdn.k-manga.jp/cover_200/14/149299/b149299_1_200.jpg,少年漫画,ギャグ・コメディ,千氏夜,巻500pt,ある日突然服を透視する能力に目覚めた男の子。これで女の子の裸は見放題！今までの何もいいことのなかった人生とはオサラバ！しかしそんな彼の目の前に天使が現れて…。
笑顔のたえない職場です。,https://cf.image-cdn.k-manga.jp/cover_200/12/120932/b120932_1_200.jpg,青年漫画,ギャグ・コメディ,くずしろ,"巻620pt
              
                  
                
                5.0（1件）
              
              お気に入り：27人",新人少女漫画家の双見奈々先生は、年上の女性担当編集者の佐藤 楓さんやアシスタントの間 瑞希さんに支えられながら、時々本人曰く職業病の激しい妄想を拗らせながら、今日もお仕事中！ エンタメ業界を舞台にしたワーキングガー…
子宮がヤバイことになりました。 筋腫＆内膜症＆卵巣のう腫闘病記,https://cf.image-cdn.k-manga.jp/cover_200/12/121068/b121068_1_200.jpg,,ギャグ・コメディ,あらた真琴,"巻完600pt
              
              お気に入り：44人",20代の頃から生理の異常（経血量が多すぎる、期間が長すぎる）を感じていながらも、だましだまし生きてきた。30歳になった頃、下っ腹にしこりを感じるように…！　それでも臆病すぎて5年間放置し続けた結果、どんどんひどくな…
4コマ カピバラさん,https://cf.image-cdn.k-manga.jp/cover_200/9/95531/b95531_1_200.jpg,,ギャグ・コメディ,TRYWORKS,"巻完600pt
              
              お気に入り：4人","草と温泉とボーッとするのが大好きな人気キャラ最新刊。誕生５周年を迎えて、ますますなごむキャラブック。のんびり４コマが全部で166本のっています。楽しい企画ページもいっぱい。ワーク：チダケイコ。主婦と生活社刊。
  …"
セックスレス,https://cf.image-cdn.k-manga.jp/cover_200/10/105626/b105626_1_200.jpg,青年漫画,ギャグ・コメディ,村生ミオ,"巻完480pt
              
              お気に入り：89人",奥様の名前はルイ。　ダンナ様は風見京平、サラリーマン。奥様の仕事はAVの女優さん。魅力あふれるステキな女性です。出会いのきっかけはチョット　ヘンだけど、ごく普通のふたりは、ごく普通に恋愛し、ごく普通に結婚しました。…
民子とヴィジュアル系と。,https://cf.image-cdn.k-manga.jp/cover_200/12/128648/b128648_1_200.jpg,青年漫画,ギャグ・コメディ,河田雄志,"巻完599pt
              
              お気に入り：8人",【デジタル版限定！「となりのヤングジャンプ」掲載時のカラーページを完全収録!!】いっそこのままいなくなれたのなら――雨降る鈍色の空の下、少女が心の中で呟いた時封印されたヴィジュアル系の逆襲の鐘が鳴る！　世間が求める…
大家さんは思春期！,https://cf.image-cdn.k-manga.jp/cover_200/8/87491/b87491_1_200.jpg,青年漫画,ギャグ・コメディ,水瀬るるう,"巻600pt
              
              お気に入り：261人",就職して初めての一人暮らし。6畳風呂なしのアパートで待っていたのは……妹系大家さん!?4コマ界注目の作家、まんがタイムで大人気の水瀬るるうがおくる、ピュアほっこりな半同居コメディー！
サーバント×サービス,https://cf.image-cdn.k-manga.jp/cover_200/11/119128/b119128_1_200.jpg,青年漫画,ギャグ・コメディ,高津カリノ,"巻完476pt
              
              お気に入り：12人",『WORKING!!』で大人気の高津カリノが描く、新たな“お役所”WORK４コマ!!　こっちはちゃんと仕事してます…!!?
スライムドーン!!,https://cf.image-cdn.k-manga.jp/cover_200/10/106364/b106364_1_200.jpg,少年漫画,ギャグ・コメディ,かねこ統,"巻完380pt
              
              お気に入り：4人",大金持ちを目指し、高く売れそうな宝を求めて世界を旅するスラヨンとゼニまる。2人がピンチの時には、古代の勇者が使っていた機械鎧（マシン）『勇機（ゆうき）』にスラヨンが変化して、悪者をやっつける!!　ただし有料なのだ！…
魔王様としゅんくん,https://cf.image-cdn.k-manga.jp/cover_200/13/138132/b138132_1_200.jpg,,ギャグ・コメディ,monaca,"巻550pt
              
              お気に入り：19人","魔王様と幼稚園児のぐうかわ日常系漫画☆　ある日、幼稚園児しゅんくんのお迎えにやってきたのは本物の魔王様!!　魔王の”まおちゃん”は世界征服をしにやってきたらしいけれど、しゅんくんにベタ甘のようで…!?
      …"
ピューと吹く！ジャガー カラー版,https://cf.image-cdn.k-manga.jp/cover_200/10/105687/b105687_1_200.jpg,少年漫画,ギャグ・コメディ,うすた京介,"巻完471pt
              
                  
                
                3.0（1件）
              
              お気に入り：11人",【デジタル着色によるフルカラー版！】酒留清彦はミュージシャンを夢見る17歳。ある日、意を決してオーディション会場へやってきた清彦は、そこで謎のフエ吹き男と出会う。彼こそが、この後の清彦をギャグ人生へと誘うジャガーさ…
僕のヒーローアカデミア すまっしゅ!!,https://cf.image-cdn.k-manga.jp/cover_200/10/105252/b105252_1_200.jpg,少年漫画,ギャグ・コメディ,根田啓史,"巻完333pt
              
                  
                
                3.3（3件）
              
              お気に入り：51人",それじゃあ俺が、このコミックスの概要をサクッとプレゼンするぜ！これは地味めな少年・緑谷出久の成長を描いたギャグ四コマなワケ！　オリジナルエピソードもあるから、エヴィバディ楽しんでくれよな!!
やれたかも委員会,https://cf.image-cdn.k-manga.jp/cover_200/1/18971/b18971_1_200.jpg,青年漫画,ギャグ・コメディ,吉田貴司,"巻463ptコマ40pt
              
                  
                
                4.0（1件）
              
              お気に入り：264人",もしもあの時、勇気を出していたら…そんな誰もが心に秘めている忘れられない夜を犠星塾塾長　能島明、ミュージシャン　パラディソ、そして財団法人ミックステープ代表　月満子が判定します。「やれたかもしれない夜は人生の宝です…
こち亀ジャンプ,https://cf.image-cdn.k-manga.jp/cover_200/10/108658/b108658_1_200.jpg,少年漫画,ギャグ・コメディ,週刊少年ジャンプ編集部,"巻463pt
              
                  
                
                5.0（1件）
              
              お気に入り：7人",※デジタル版には、紙版の付録は付属しません。ご了承ください。　●1冊丸ごと両津勘吉特別編集！　『こちら葛飾区亀有公園前派出所』（秋本治）連載40周年を記念した特別増刊「こち亀ジャンプ」が登場！　●巻頭カラーは『こち…
王様はロバ,https://cf.image-cdn.k-manga.jp/cover_200/10/108485/b108485_1_200.jpg,少年漫画,ギャグ・コメディ,なにわ小吉,"巻完461pt
              
              お気に入り：13人",【シンプルな絵で見せるショートギャグ！】巨大怪獣「ゾウラ」襲来！　ビル街へ上陸した彼らだが、基本的にはでっかくなった象。果たしてその対処法とは…!?　「～～ラ」シリーズや、おとぎ話の登場人物が集団になる「集団」シリ…
奥さまはアイドル,https://cf.image-cdn.k-manga.jp/cover_200/2/25072/b25072_1_200.jpg,青年漫画,ギャグ・コメディ,師走冬子,"巻648pt
              
              お気に入り：11人",2人はごくふつうの出会いをし、ごくふつうの結婚をしました。ただ1つだけ違っていたのは…！？読めば心がほんわか軽くなる、夫婦コメディー四コマ！
パパ!? パタリロ！,https://cf.image-cdn.k-manga.jp/cover_200/2/27266/b27266_1_200.jpg,,ギャグ・コメディ,魔夜峰央,"巻完450pt
              
              お気に入り：17人",スイスにいるはずの母が現れ、赤ちゃんを預かることになったパタリロ。その子はアイシャドーのあるあの人に激似で、しかもパタリロの弟…ってどういうこと!?　まさかの子育てパタリロ、大奮闘！
黙っていればただの美人,https://cf.image-cdn.k-manga.jp/cover_200/14/142933/b142933_1_200.jpg,青年漫画,ギャグ・コメディ,加川壱互,"巻450pt
              
              お気に入り：9人",近寄りづらいかっこいい女、阿尾山澪。そんな彼女は『黙っていれば、ただの美人』だった？！コミックマーケット97で完売した同人誌の電子版となります。
御影くんは帰りたい！【GANMA！版】,https://cf.image-cdn.k-manga.jp/cover_200/14/147349/b147349_1_200.jpg,青年漫画,ギャグ・コメディ,ミナヤマカエル,"巻450pt
              
              お気に入り：3人",主人公の「御影」が働くのは《超》がつくブラック企業。 眠気覚ましのアイテムで埋まる机、クマだらけの顔に、減らない書類の山脈。 絶望しか無い状況の中、響き渡るのは隣の《ポジティブ・サイコパス》「小日向陽」の笑い声であ…
怪人アッカーマン　新田たつお傑作選,https://cf.image-cdn.k-manga.jp/cover_200/7/73579/b73579_1_200.jpg,青年漫画,ギャグ・コメディ,新田たつお,"巻完450ptコマ完40pt
              
              お気に入り：8人",累計4500万部を突破した空前の大ヒット作『静かなるドン』でおなじみの新田たつおの単行本未収録傑作選。表題の「怪人アッカーマン」は、そのアナーキーでパンクでちょっぴりお下劣なギャグセンスが、敬意を持って「史上最低の…
異種族女子に○○する話,https://cf.image-cdn.k-manga.jp/cover_200/14/140507/b140507_1_200.jpg,青年漫画,ギャグ・コメディ,すいみん,"巻完630pt
              
              お気に入り：1人",Webにて話題沸騰！ エルフ、雪女、吸血鬼など、いろんな異種族の女の子たちと一人の人間が通う女子高を舞台に繰り広げられる、ちょっとえっちなゆるゆるコメディ！
ちんまん～中村珍マンガ集 コメディ短編だけ～,https://cf.image-cdn.k-manga.jp/cover_200/3/31991/b31991_1_200.jpg,青年漫画,ギャグ・コメディ,中村珍,"巻完550pt
              
              お気に入り：236人",2009年に刊行された短編集「ちんまん」（日本文芸社刊）収録作をシリアス漫画サイドとコメディ漫画サイド、両極端の２冊に分けて再編集！そのコメディサイドがついに登場。いつでもどこでも発情しちゃう病気「突発性発情症候群…
ましのの,https://cf.image-cdn.k-manga.jp/cover_200/15/153622/b153622_1_200.jpg,少年漫画,ギャグ・コメディ,八谷美幸,巻430pt,女の子っておバカでエッチで毎日大変！！ 体育の時間に短パンのゴムが切れてしまったら？お風呂でシャンプー中に断水してしまったらどうやって泡を流す？汗でブラジャーがベトベトの時どうすれば快適に過ごせる？身に起こるピンチ…
女の友情と筋肉,https://cf.image-cdn.k-manga.jp/cover_200/11/116149/b116149_1_200.jpg,青年漫画,ギャグ・コメディ,KANA,"巻610pt
              
                  
                
                5.0（1件）
              
              お気に入り：66人",磨け！　女子力と筋力！身長195cm握力97kg、身長189cm100M(メートル)走10秒8、身長186cmソフトボール投げ85メートル………の、ちょっぴり？　マッスルだけどとっても優しい女の子たち“イオリ、ユイ…
ちはるさんの娘,https://cf.image-cdn.k-manga.jp/cover_200/7/72494/b72494_1_200.jpg,,ギャグ・コメディ,西炯子,"巻完600ptコマ40pt
              
              お気に入り：234人",「しかたないでしょ、お母さんの子だもの」。五十嵐ちなつさんは、バツイチの人気ミステリー作家。その母ちはるさんは、身も心も若い80歳の洋裁店店主。好奇心満点の母に振り回されっぱなしのちなつさん。やがてちなつさんの前に…
ドリ－ムネットPAPA,https://cf.image-cdn.k-manga.jp/cover_200/11/112271/b112271_1_200.jpg,,ギャグ・コメディ,柴田亜美,"巻完420pt
              
              お気に入り：14人",ゲームプロデューサー・五味ヒデハルのもとに、夢のゲーム機を携（たずさ）えて、天才赤ちゃん<スーパーベビー>ネットくんが帰ってきた！　業界全体が大混乱に!!　テレビゲームより100倍楽しい、愛と感動のギャグストーリー…
偉人ですか？ 英雄ですか？ 死んでもらっていいですか？,https://cf.image-cdn.k-manga.jp/cover_200/13/139330/b139330_1_200.jpg,,ギャグ・コメディ,下瀬川ひなる,"巻完600pt
              
              お気に入り：4人",天界と冥界。あの世はどちらも若者のゆとり化に古株の引退も加わり、有能な人材の不足に悩まされていた。そんな時、神と魔王は仰った。「下界から引っ張ってくればよくね？――と」かくして悪魔のクーロと天使のサイロは、下界から…
HARD LIFE,https://cf.image-cdn.k-manga.jp/cover_200/2/20436/b20436_1_200.jpg,,ギャグ・コメディ,かたおかみさお,"巻完420pt
              
              お気に入り：28人",3億円が引き起こすマネーパニック！！ 平日は会社に通い、休日は恋人と過ごす。ミサキはどこにでもいるような平凡なOL。しかし、偶然買った宝くじで3億円を当てたことで、平穏な生活は一変して……！？ 表題作「HARD　L…
シンデレラになりたい,https://cf.image-cdn.k-manga.jp/cover_200/7/76818/b76818_1_200.jpg,,ギャグ・コメディ,吉原由起,"巻完420pt
              
              お気に入り：2人","湖子（ここ）のおばちゃんの形見は真珠のブラジャー。それをつくったのは、なんと、湖子の恋する雅（みやび）くんのおじいちゃんだったのです。雅くんと尾上美術館が、そのブラを奪い合って、てんやわんやの大騒ぎ。
      …"
お姉さんは無精者,https://cf.image-cdn.k-manga.jp/cover_200/10/108684/b108684_1_200.jpg,青年漫画,ギャグ・コメディ,多治見尚哉,"巻420pt
              
              お気に入り：297人",ダルダルのＴシャツとほとんど見えないホットパンツ。目のやり場に困る部屋着で出迎えてくれた家庭教師のお姉さんは、中1の僕を小2と勘違い！ 距離感近すぎな上、勉強そっちのけでヘンな遊びを仕掛けてきて！？ 【だらしなカワ…
熟れすぎ!! 艶すぎ!? 部長ちゃん,https://cf.image-cdn.k-manga.jp/cover_200/11/114503/b114503_1_200.jpg,青年漫画,ギャグ・コメディ,いとうえい,"巻524pt
              
              お気に入り：126人","数々の伝説を持つ凄腕営業マン“部長ちゃん”の下に配属された新入部員山本が見た営業の秘訣…それは究極の天然エロスだった! 部長ちゃんの無自覚すぎるセクシーショットに取引先も山本も今日も色々ビ○ビンです♪
      …"
サメガール,https://cf.image-cdn.k-manga.jp/cover_200/12/125009/b125009_1_200.jpg,青年漫画,ギャグ・コメディ,雪本愁二,"巻600pt
              
              お気に入り：20人",巨大海洋生物が街を襲うようになった時代。平凡な男子高校生・海月夏蔵は転校生の深田一花が巨大海洋生物から人間を守るサメガールだということを知る。しかし彼女、実は相当な怖がりで恐怖心を抱きながら街の人々のために戦ってい…
猫背を伸ばして,https://cf.image-cdn.k-manga.jp/cover_200/1/17072/b17072_1_200.jpg,青年漫画,ギャグ・コメディ,押切蓮介,"巻完420ptコマ完40pt
              
                  
                
                5.0（1件）
              
              お気に入り：19人","まんが家押切蓮介の生活を赤裸々に綴ったまんが日記。まんがという仕事、母、交友関係、バイト、過去の出来事…どんくさくて不運でも、なんとか頑張って生きている。そんな漫画家の生活を覗き見するエッセイ漫画。
       …"
じゃりン子チエ【新訂版】,https://cf.image-cdn.k-manga.jp/cover_200/3/36945/b36945_1_200.jpg,青年漫画,ギャグ・コメディ,はるき悦巳,"巻完600pt
              
                  
                
                5.0（1件）
              
              お気に入り：38人",大阪の下町でホルモン焼き屋を切り盛りするチエちゃんは小学５年生。父親のテツは無職でケンカとバクチに明け暮れ、母親のヨシ江は家出中。そんな逆境にもめげず、大人顔負けのたくましさで奮闘するチエちゃんと、個性的な登場人物…
快尻グラマンチェ,https://cf.image-cdn.k-manga.jp/cover_200/0/5745/b5745_1_200.jpg,青年漫画,ギャグ・コメディ,山口かつみ,"巻完420pt
              
              お気に入り：4人",ズボッと参上！ズボッと快尻！その名は快尻グラマンチェ！グラマンチェ・荻野四季子は改造人間である！彼女を改造したマラカントは、世界を淫乱が支配する「真の楽園」にせんと企む悪の秘密結社である！グラマンチェは人間の愛のた…
米吐き娘,https://cf.image-cdn.k-manga.jp/cover_200/8/81261/b81261_1_200.jpg,青年漫画,ギャグ・コメディ,古林海月,"巻完420pt
              
              お気に入り：9人",極貧母子家庭ながらも明るく素直に育ったみのり。彼女はなぜか脱穀精米された米を吐き出すという癖があって…!?米吐き娘が県庁農政課で米食推進に奮闘する異色の妖怪コメディ
Oh！透明人間,https://cf.image-cdn.k-manga.jp/cover_200/10/101691/b101691_1_200.jpg,少年漫画,ギャグ・コメディ,中西やすひろ,"巻完420pt
              
              お気に入り：72人",荒方透留はおばさんの家に下宿中の高校1年生。彼の最大の悩みは、おばさんをはじめ下宿先の萩谷家が全員女性だということ。ある日、夕食に嫌いなイクラ料理が出され、恐る恐る食べてみたところ、なんと体が消えてしまった！イクラ…
あぶない！ルナ先生,https://cf.image-cdn.k-manga.jp/cover_200/10/101883/b101883_1_200.jpg,少年漫画,ギャグ・コメディ,上村純子,"巻完420pt
              
              お気に入り：71人",伝説のセクシーコメディ『いけない！ルナ先生』の原点!!　勉強嫌いの中学一年生・神谷（かみや）わたるの家には、担任の葉月（はづき）ルナ先生が下宿中。自分担当の数学がちっともできないわたるを心配する彼女だが、わたるが興…
さよなら絶望先生,https://cf.image-cdn.k-manga.jp/cover_200/10/102378/b102378_1_200.jpg,少年漫画,ギャグ・コメディ,久米田康治,"巻完420pt
              
              お気に入り：90人",桜咲く4月。希望に胸を膨らませた登校途中の少女が、桜並木で出会ったのは、新クラスの担任の先生だった……。そこまでは良い話。その先生の名は糸色望。学校から飛び下りたり、すぐ不登校になったり、超迷惑なネガティブ教師だっ…
僕の後ろに魔女がいる,https://cf.image-cdn.k-manga.jp/cover_200/10/109673/b109673_1_200.jpg,少年漫画,ギャグ・コメディ,山田ヒツジ,"巻600pt
              
              お気に入り：27人",転校してきた南里くんの席は、先生さえも恐れる「魔女」ミヤの前。しかも、ミヤに大悪魔召喚の生贄認定されてしまう。しかし、生来の負け犬根性からか、ミヤの天然の男殺し資質からか、南里くんは彼女の眼鏡越しの瞳に見つめられる…
激烈バカ,https://cf.image-cdn.k-manga.jp/cover_200/11/110640/b110640_1_200.jpg,少年漫画,ギャグ・コメディ,斉藤富士夫,"巻完420pt
              
              お気に入り：3人",時代はこれを待っていた！人はバカであるためにバカになり、何ゆえにバカはバカなのか？この深淵なるテーマのもとに、今“激烈バカ”が発動する。バカのバカによるバカのための激烈バカ。しまいにゃ大バカ大震災が炸裂する。このコ…
いとやんごとなき,https://cf.image-cdn.k-manga.jp/cover_200/12/129379/b129379_1_200.jpg,少年漫画,ギャグ・コメディ,小松翔太,"巻完420pt
              
                  
                
                4.0（3件）
              
              お気に入り：85人",光り輝く学園ノーブルギャグ、開幕! 庶民少女・出海あすかは超名門校・雲上学園に転校した。そこで出会ったのは、学園一の貴人”光の貴公子”光暈寺麻呂。彼の股間は興奮すると、光る。尊い男子が輝きを放つ、唯一無二の学園ノー…
わたしのために脱ぎなさいっ！,https://cf.image-cdn.k-manga.jp/cover_200/13/138357/b138357_1_200.jpg,少年漫画,ギャグ・コメディ,九郎,"巻600pt
              
              お気に入り：6人",人見知りな女の子・二ノ瀬しずくは、成年向け漫画を描いて生計を立てているワケありな女子高生。毎日を生き抜くため仕事に打ち込むしずくだったが、＜ある問題＞に直面してしまい…。
ダメおやじ,https://cf.image-cdn.k-manga.jp/cover_200/1/19077/b19077_1_200.jpg,少年漫画,ギャグ・コメディ,古谷三敏,"巻完420pt
              
              お気に入り：8人",大ヒット作「元祖ダメおやじ」の続きだが、作品はここで大転換。ダメな主人公がひとつの出会いから変身し、趣味に仕事にマイペースで取り組むナイスなおやじに。ウンチクマンガの元祖となった、スローライフ賛歌の大傑作！　そして…
はなにあらし,https://cf.image-cdn.k-manga.jp/cover_200/3/31667/b31667_1_200.jpg,少年漫画,ギャグ・コメディ,古鉢るか,"巻600pt
              
                  
                
                5.0（2件）
              
              お気に入り：309人",わたしと私の”秘密”の交際日記ｉｎ女子高　好事魔多し、月に叢雲、花に嵐──良いことには、とかく邪魔が入りやすいことの例え。同じ女子高に通う「千鳥」と「なのは」は、親友にして「恋人」関係。だけど、それは誰にも「内緒」…
