タイトル,画像URL,icontext,icontext1,著者,数量,bookliststory
組長娘と世話係,https://cf.image-cdn.k-manga.jp/cover_200/4/40149/b40149_1_200.jpg,青年漫画,ギャグ・コメディ,つきや,"巻800pt
              
                  
                
                5.0（1件）
              
              お気に入り：370人",霧島透28歳、桜樹組・若頭――　極道であることをいいことに好き放題やらかし、『桜樹組の悪魔』と呼ばれていた。　そんなある日、組長の一人娘の世話係に任命された!?ヤクザ×幼女のハートフル（？）ストーリー！コミックライ…
監獄学園,https://cf.image-cdn.k-manga.jp/cover_200/10/103492/b103492_1_200.jpg,青年漫画,ギャグ・コメディ,平本アキラ,"巻完600pt
              
                  
                
                5.0（1件）
              
              お気に入り：799人",女子1000人：男子5人!!　その学園は男（ヤロウ）共にとって天国か地獄か。誰も見たことがない牢獄高校（ハイスクール）コメディ始業!!　伝統ある全寮制の女子高・私立八光（はちみつ）学園。このお嬢様学校が本年度から男…
ヤンキーJKクズハナちゃん,https://cf.image-cdn.k-manga.jp/cover_200/12/129366/b129366_1_200.jpg,少年漫画,ギャグ・コメディ,宗我部としのり,"巻430pt
              
                  
                
                4.0（1件）
              
              お気に入り：290人",男女比率1対359!! 359人の女子高生にいじられまくり!! つらたんハーレム学園ラブコメ!! コワかわ最強ヒロイン爆誕!! 四方八方ギャルだらけな県立茂手城高校に入学した黒一点・早乙女穂高は、ヤンキーJK・九頭…
ラララ,https://cf.image-cdn.k-manga.jp/cover_200/11/119304/b119304_1_200.jpg,青年漫画,ギャグ・コメディ,金田一蓮十郎,"巻完552pt
              
                  
                
                4.2（5件）
              
              お気に入り：163人",自宅ではいつもおっぱい丸出し素っ裸状態の石村亜衣。バーで酔っ払っていた桐島に婚姻届にサインをさせ、その翌日いきなり離婚届けにサインを迫るそのワケとは？
ダンベル何キロ持てる？,https://cf.image-cdn.k-manga.jp/cover_200/9/97723/b97723_1_200.jpg,少年漫画,ギャグ・コメディ,サンドロビッチ・ヤバ子,"巻552pt
              
                  
                
                4.8（4件）
              
              お気に入り：444人",「ひびき…お前、また太った?」”食べること”が大好きな女子高生紗倉ひびきは友人の一言をきっかけにダイエットを始めようと決意する!!運動を一人では続けられない彼女が入会したのはスポーツジム!!そのジムで同級生でお嬢様…
テルマエ・ロマエ,https://cf.image-cdn.k-manga.jp/cover_200/13/135719/b135719_1_200.jpg,青年漫画,ギャグ・コメディ,ヤマザキマリ,"巻完680pt
              
              お気に入り：14人",すべての“風呂”は、“ローマ”に通ず。「マンガ大賞2010」と「第14回手塚治虫文化賞短編賞」をW受賞、実写映画(主演:阿部寛)も記録的な大ヒットとなった超ベストセラー・爆笑コミック! 紀元前128年、第14代皇帝…
からかい上手の高木さん,https://cf.image-cdn.k-manga.jp/cover_200/7/76583/b76583_1_200.jpg,少年漫画,ギャグ・コメディ,山本崇一朗,"巻550pt
              
                  
                
                4.5（2件）
              
              お気に入り：1593人",いっつもオレをからかってくる隣の席の高木さん。だけど見ていろ、今日こそは必ず高木さんをからかって恥ずかしがらせてやる!!
2.5次元の誘惑 セミカラー版,https://cf.image-cdn.k-manga.jp/cover_200/12/121166/b121166_1_200.jpg,少年漫画,ギャグ・コメディ,橋本悠,"巻670pt
              
                  
                
                5.0（1件）
              
              お気に入り：138人",【デジタル版限定！　デジタル着色により一部シーンがフルカラーに!!】現実の女に興味無し！　2次元のキャラクター・リリエルを愛す漫画研究部部長・奥村のもとにやってきたのは、「リリエルになりたい」という3次元女子・天乃…
古見さんは、コミュ症です。,https://cf.image-cdn.k-manga.jp/cover_200/9/96543/b96543_1_200.jpg,少年漫画,ギャグ・コメディ,オダトモヒト,"巻420pt
              
                  
                
                3.8（6件）
              
              お気に入り：1044人",話したい、話せない。この緊張が、伝わってたらどうしよう。万人が振り返る美少女・古見（こみ）さんは、コミュ症です。コミュニケーションがとても苦手で、周囲は近寄りがたく感じている？「どうやって話しかけよう」「話しかけた…
かぐや様は告らせたい～天才たちの恋愛頭脳戦～,https://cf.image-cdn.k-manga.jp/cover_200/10/104876/b104876_1_200.jpg,青年漫画,ギャグ・コメディ,赤坂アカ,"巻513pt
              
                  
                
                4.2（104件）
              
              お気に入り：1510人",「恋愛は告白した方が負けなのである!」 家柄も人柄も良し!! 将来を期待された秀才が集う秀知院学園!! その生徒会で出会った、副会長・四宮かぐやと会長・白銀御行は互いに惹かれているはずだが…何もないまま半年が経過!…
なんでここに先生が!? 彩色兼美フェチ魂,https://cf.image-cdn.k-manga.jp/cover_200/13/133460/b133460_1_200.jpg,青年漫画,ギャグ・コメディ,蘇募ロウ,"巻1100pt
              
              お気に入り：58人",なんで先生がフルカラーに!? 先生のアレもソレも塗っちゃいました。100話以上のお話の中から「おっぱい」に関する回を厳選してフルカラーに!先生たちの思い出が、美麗彩色で蘇る完全保存版!!
有閑倶楽部,https://cf.image-cdn.k-manga.jp/cover_200/10/105271/b105271_1_200.jpg,,ギャグ・コメディ,一条ゆかり,"巻371pt
              
                  
                
                5.0（3件）
              
              お気に入り：561人","聖プレジデント学園の名物生徒会「有閑倶楽部」。メンバーは会長の菊正宗清四郎を筆頭に、松竹梅魅録・美童グランマニエ・黄桜可憐・白鹿野梨子・剣菱悠理といずれもひとクセあるやつばかり。退屈なんてふきとばせ！
      …"
ブスに花束を。,https://cf.image-cdn.k-manga.jp/cover_200/13/136327/b136327_1_200.jpg,少年漫画,ギャグ・コメディ,作楽ロク,"巻580pt
              
                  
                
                5.0（5件）
              
              お気に入り：239人","田端花はネガティブ思考のボッチ喪女JK。早朝の教室でヒロイン気取りで浮かれていたところを、クラス一のイケメン・陽介に目撃されてしまい…!? この恋、きっとあなたも応援したくなる! 自虐系喪女コメディ!
      …"
女の園の星,https://cf.image-cdn.k-manga.jp/cover_200/12/128128/b128128_1_200.jpg,,ギャグ・コメディ,和山やま,"巻600pt
              
                  
                
                4.5（32件）
              
              お気に入り：1413人",【電子限定！描き下ろし特典ペーパー収録】「声を出して笑った」の声、続出!!!漫画賞総ナメ『夢中さ、きみに。』の和山やま初連載！ある女子校、２年４組担任・星先生。生徒たちが学級日誌で繰り広げる絵しりとりに翻弄され、教…
すみれ先生は料理したくない,https://cf.image-cdn.k-manga.jp/cover_200/12/125818/b125818_1_200.jpg,,ギャグ・コメディ,大久保ヒロミ,"巻600pt
              
                  
                
                5.0（10件）
              
              お気に入り：278人",溢れ出る品格とその美貌に誰もが憧れるピアノ教師・白雪すみれ。しかしそんなイメージとは裏腹に実生活は、金欠＆彼氏もいない独身アラサー街道まっしぐら！　さらに苦手な料理においては、壊滅的なまでのポンコツっぷり!!　料理…
スナックバス江,https://cf.image-cdn.k-manga.jp/cover_200/10/108501/b108501_1_200.jpg,青年漫画,ギャグ・コメディ,フォビドゥン澁川,"巻488pt
              
                  
                
                4.5（2件）
              
              お気に入り：70人","北海道最大の繁華街すすきの――から5駅離れた北24条。この町の「スナックバス江」は、バス江ママと、チーママの明美さんの楽しいお店。彼女たちと珍妙な常連＆一見さんが織りなす笑いで、あなたもきっと、いつしか笑顔。
  …"
僕とロボコ,https://cf.image-cdn.k-manga.jp/cover_200/13/133252/b133252_1_200.jpg,少年漫画,ギャグ・コメディ,宮崎周平,"巻418pt
              
                  
                
                4.8（4件）
              
              お気に入り：64人",美少女メイドロボ「OM(オーダーメイド)」が、一家に一台普及する時代。平凡な小学生、平凡人(たいらボンド)は念願の美少女メイドロボに心躍らせていた。しかし、家に来たのは想定外に規格外なOMで!? 僕とロボコの愉快な…
ゆるキャン△,https://cf.image-cdn.k-manga.jp/cover_200/9/91537/b91537_1_200.jpg,青年漫画,ギャグ・コメディ,あfろ,"巻600pt
              
                  
                
                5.0（7件）
              
              お気に入り：981人",富士山が見える湖畔でキャンプをする女の子、リン。自転車に乗り富士山を見にきた女の子、なでしこ。二人でカップラーメンを食べて見た景色は…。読めばキャンプに行きたくなる。行かなくても行った気分になる。そんな新感覚キャン…
なんでここに先生が!?,https://cf.image-cdn.k-manga.jp/cover_200/10/106082/b106082_1_200.jpg,青年漫画,ギャグ・コメディ,蘇募ロウ,"巻600pt
              
                  
                
                5.0（2件）
              
              お気に入り：3053人",おっぱいの柔らかさの限界に挑んだ衝撃作！　「鬼の児嶋」と恐れられるナイスバディな国語教師・児嶋加奈と普通の高校生・佐藤一郎の間で巻き起こるエッチなハプニング！　ヤングマガジン掲載作品に加えて、ヤンマガにすら載せられ…
通りがかりにワンポイントアドバイスしていくタイプのヤンキー,https://cf.image-cdn.k-manga.jp/cover_200/11/119816/b119816_1_200.jpg,,ギャグ・コメディ,おつじ,"巻815pt
              
                  
                
                5.0（3件）
              
              お気に入り：312人",通りがかりにワンポイントアドバイスをしていく、見た目ヤンキーな桜井さん。そのいかつさに初対面の人はビビるものの、アドバイスを通して触れる桜井さんの温かな心に、人の輪は広がっていき――。優しくて、気遣いができ、博識で…
猫を拾った話。,https://cf.image-cdn.k-manga.jp/cover_200/12/123976/b123976_1_200.jpg,青年漫画,ギャグ・コメディ,寺田亜太朗,"巻1000pt
              
                  
                
                4.7（6件）
              
              お気に入り：154人",拾ったら、単眼。育ったら、巨体。ツイッター発、異形のモフモフと普通に暮らすまんが！「これからは、こうでなくてはいけないですね。」お化け友の会・京極夏彦疲れたサラリーマン、イガイさんが会社帰りに拾った小さな「ソレ」は…
